x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
1.459549646824598312e-02,6.699778023175895214e-04,-3.388062238693237305e+00,3.388062238693237305e+00,6.754423217153606796e-04,-3.280353763408343504e+00,3.280353832946929504e+00
1.488740649074316025e-02,7.629874744452536106e-04,-3.132925987243652344e+00,3.132925987243652344e+00,7.645626610054848202e-04,-2.996165976999314307e+00,2.996166074549993841e+00
1.517931651324033737e-02,8.439797675237059593e-04,-2.832142114639282227e+00,2.832142114639282227e+00,8.503430225157130760e-04,-2.677748131023077516e+00,2.677748266040114622e+00
1.547122560441493988e-02,9.174261358566582203e-04,-2.502697229385375977e+00,2.502697229385375977e+00,9.252571202657758212e-04,-2.328733841254422288e+00,2.328734025066906632e+00
1.576313562691211700e-02,9.797930251806974411e-04,-2.146260023117065430e+00,2.146260261535644531e+00,9.901929002936330285e-04,-1.953109630825021314e+00,1.953109881830366934e+00
1.605504564940929413e-02,1.029825885780155659e-03,-1.759776234626770020e+00,1.759776473045349121e+00,1.040321935472544347e-03,-1.555161097498569678e+00,1.555161445459179781e+00
1.634695567190647125e-02,1.071210717782378197e-03,-1.361078739166259766e+00,1.361079096794128418e+00,1.081842597837792685e-03,-1.139449546375419065e+00,1.139450059949340011e+00
1.663886569440364838e-02,1.095206476747989655e-03,-9.378228783607482910e-01,9.378234148025512695e-01,1.110923565980910131e-03,-7.107171060465162782e-01,7.107179742895943786e-01
1.693077571690082550e-02,1.113987062126398087e-03,-5.117806792259216309e-01,5.117818713188171387e-01,1.126524663728454417e-03,-2.738646078196185774e-01,2.738669247536318907e-01
1.722268573939800262e-02,1.110687619075179100e-03,-7.394216209650039673e-02,7.395049929618835449e-02,1.129348130287384250e-03,1.661249676874304027e-01,1.661288064013859422e-01
1.751459576189517975e-02,1.106032170355319977e-03,3.634775876998901367e-01,3.634792864322662354e-01,1.120200509070341886e-03,6.042163438042572610e-01,6.042173822138561246e-01
1.780650578439235687e-02,1.075610518455505371e-03,7.929409146308898926e-01,7.929415702819824219e-01,1.095649709632263080e-03,1.035388020321829972e+00,1.035388600031043715e+00
1.809841580688953400e-02,1.045188866555690765e-03,1.222404241561889648e+00,1.222404718399047852e+00,1.059475581196846986e-03,1.454736787217131289e+00,1.454737173021755314e+00
1.839032582938671112e-02,9.915648261085152626e-04,1.623787403106689453e+00,1.623787641525268555e+00,1.014179516226581266e-03,1.857470213631177369e+00,1.857470490502377336e+00
1.868223585188388824e-02,9.356162045150995255e-04,2.022356986999511719e+00,2.022357225418090820e+00,9.586559245963633281e-04,2.238978353484239570e+00,2.238978558716491651e+00
1.897414587438106537e-02,8.623186731711030006e-04,2.381160259246826172e+00,2.381160259246826172e+00,8.823658711416415426e-04,2.594890733511296066e+00,2.594890883531005610e+00
1.926605589687824249e-02,7.837761077098548412e-04,2.727940797805786133e+00,2.727940797805786133e+00,8.006787296190423552e-04,2.921158415630326743e+00,2.921158525361865266e+00
1.955796405673027039e-02,6.936538848094642162e-04,3.030861854553222656e+00,3.030861854553222656e+00,7.173329799509731196e-04,3.214051334548864158e+00,3.214051414598393830e+00
1.984987407922744751e-02,5.966357421129941940e-04,3.307670354843139648e+00,3.307670354843139648e+00,6.116988544771303658e-04,3.470210956981280237e+00,3.470211010893778258e+00
2.014178410172462463e-02,4.931145813316106796e-04,3.543442487716674805e+00,3.543442487716674805e+00,5.112339820763434680e-04,3.686726890583578164e+00,3.686726926029678886e+00
2.043369412422180176e-02,3.827079490292817354e-04,3.735764503479003906e+00,3.735764503479003906e+00,3.989223437284728359e-04,3.861112236707084477e+00,3.861112257315011398e+00
2.072560414671897888e-02,2.696819137781858444e-04,3.895494461059570312e+00,3.895494461059570312e+00,2.895419345397031493e-04,3.991380251694493175e+00,3.991380262196440487e+00
2.101751416921615601e-02,1.516749180154874921e-04,3.993247270584106445e+00,3.993247270584106445e+00,1.771831690470064286e-04,4.076039571008083229e+00,4.076039574859110282e+00
2.130942419171333313e-02,3.338032547617331147e-05,4.070705413818359375e+00,4.070705413818359375e+00,4.728541551241424230e-05,4.114122282455650037e+00,4.114122282727386448e+00
2.160133421421051025e-02,-8.603942114859819412e-05,4.068763732910156250e+00,4.068763732910156250e+00,-6.758963921072230958e-05,4.105195426089761845e+00,4.105195426646173651e+00
2.189324423670768738e-02,-2.051561023108661175e-04,4.060597419738769531e+00,4.060597419738769531e+00,-1.904538163899049659e-04,4.049360299181650191e+00,4.049360303660463067e+00
2.218515425920486450e-02,-3.197269106749445200e-04,3.959062814712524414e+00,3.959062814712524414e+00,-3.176446142465419323e-04,3.947257879486175458e+00,3.947257892266959445e+00
2.247706428170204163e-02,-4.342977481428533792e-04,3.857528209686279297e+00,3.857528209686279297e+00,-4.260673669867369234e-04,3.800047973740924956e+00,3.800047997626597063e+00
2.276897430419921875e-02,-5.388660938479006290e-04,3.669131040573120117e+00,3.669131040573120117e+00,-5.301765827324733194e-04,3.609415113792095120e+00,3.609415152730149678e+00
2.306088432669639587e-02,-6.425814935937523842e-04,3.473326921463012695e+00,3.473326921463012695e+00,-6.353017178416918041e-04,3.377542720984041402e+00,3.377542780732844641e+00
2.335279434919357300e-02,-7.335820700973272324e-04,3.211969852447509766e+00,3.211969852447509766e+00,-7.269113600059278531e-04,3.107071988106143934e+00,3.107072073137987278e+00
2.364470437169075012e-02,-8.210038649849593639e-04,2.932162284851074219e+00,2.932162284851074219e+00,-8.217689878085877040e-04,2.801108571124912849e+00,2.801108691667233419e+00
2.393661439418792725e-02,-8.950790506787598133e-04,2.608031511306762695e+00,2.608031511306762695e+00,-8.962912104996556984e-04,2.463126730465853065e+00,2.463126893538645223e+00
2.422852441668510437e-02,-9.616235038265585899e-04,2.258891582489013672e+00,2.258891820907592773e+00,-9.656113854131407551e-04,2.097006409649950331e+00,2.097006631968130641e+00
2.452043443918228149e-02,-1.016028109006583691e-03,1.884329915046691895e+00,1.884330153465270996e+00,-1.026695327872541611e-03,1.706931568437620284e+00,1.706931877208991200e+00
2.481234446167945862e-02,-1.058206078596413136e-03,1.484164595603942871e+00,1.484164953231811523e+00,-1.069171083199296464e-03,1.297338154013253364e+00,1.297338594579426241e+00
2.510425262153148651e-02,-1.090892008505761623e-03,1.073271155357360840e+00,1.073271632194519043e+00,-1.100821652755744513e-03,8.729206085302972928e-01,8.729213026414326393e-01
2.539616264402866364e-02,-1.106492243707180023e-03,6.430594325065612793e-01,6.430603265762329102e-01,-1.121727664818349341e-03,4.385360374604126976e-01,4.385374720869751886e-01
2.568807266652584076e-02,-1.116173109039664268e-03,2.112296670675277710e-01,2.112326174974441528e-01,-1.129642632438698563e-03,-8.594800899649039389e-04,1.419435980264383912e-03
2.597998268902301788e-02,-1.104377792216837406e-03,-2.264707088470458984e-01,2.264733761548995972e-01,-1.124070915357815170e-03,-4.402451456752339287e-01,4.402465807090734651e-01
2.627189271152019501e-02,-1.090573961846530437e-03,-6.630114316940307617e-01,6.630123257637023926e-01,-1.106861182303326948e-03,-8.746081131922811558e-01,8.746088135866451063e-01
2.656380273401737213e-02,-1.052001491189002991e-03,-1.085249900817871094e+00,1.085250377655029297e+00,-1.075835916232754626e-03,-1.298969459040074215e+00,1.298969904555829835e+00
2.685571275651454926e-02,-1.013428904116153717e-03,-1.507488369941711426e+00,1.507488727569580078e+00,-1.032078539959856199e-03,-1.708488341309917002e+00,1.708488653043392036e+00
2.714762277901172638e-02,-9.517369326204061508e-04,-1.894613146781921387e+00,1.894613385200500488e+00,-9.762952918011004975e-04,-2.098485247970668599e+00,2.098485475075539952e+00
2.743953280150890350e-02,-8.884093840606510639e-04,-2.279253721237182617e+00,2.279253721237182617e+00,-9.136484921165485525e-04,-2.464510252738168816e+00,2.464510422093020736e+00
2.773144282400608063e-02,-8.080872939899563789e-04,-2.618093490600585938e+00,2.618093490600585938e+00,-8.361077030719955838e-04,-2.802367877831849263e+00,2.802368002561382632e+00
2.802335284650325775e-02,-7.233251817524433136e-04,-2.944967508316040039e+00,2.944967508316040039e+00,-7.487444913291415151e-04,-3.108204279714602780e+00,3.108204369898235342e+00
2.831526286900043488e-02,-6.274891784414649010e-04,-3.223018884658813477e+00,3.223018884658813477e+00,-6.525601945078174588e-04,-3.378525022157968571e+00,3.378525085178784249e+00
2.860717289149761200e-02,-5.257371230982244015e-04,-3.474987268447875977e+00,3.474987268447875977e+00,-5.555638402886551924e-04,-3.610245319498522232e+00,3.610245362245088074e+00
2.889908291399478912e-02,-4.180323448963463306e-04,-3.681954145431518555e+00,3.681954145431518555e+00,-4.528471110727478243e-04,-3.800711230561654830e+00,3.800711257539566290e+00
2.919099293649196625e-02,-3.046246420126408339e-04,-3.845807313919067383e+00,3.845807313919067383e+00,-3.304187382835778474e-04,-3.947743123609835258e+00,3.947743137437551120e+00
2.948290295898914337e-02,-1.891065767267718911e-04,-3.973913192749023438e+00,3.973913192749023438e+00,-2.092781556518170081e-04,-4.049669198734380693e+00,4.049669204141901346e+00
2.977481298148632050e-02,-6.998970638960599899e-05,-4.041059017181396484e+00,4.041059017181396484e+00,-9.548540562520514815e-05,-4.105322178204724004e+00,4.105322179315168185e+00
3.006672300398349762e-02,4.900450585409998894e-05,-4.085295677185058594e+00,4.085295677185058594e+00,1.931786218861108578e-05,-4.114064597699728765e+00,4.114064597745082708e+00
3.035863302648067474e-02,1.675847306614741683e-04,-4.052214145660400391e+00,4.052214145660400391e+00,1.494996144600645757e-04,-4.075797985911617793e+00,4.075797988653428128e+00
3.065054304897785187e-02,2.855740312952548265e-04,-4.010514259338378906e+00,4.010514259338378906e+00,2.700958675416528635e-04,-3.990959432357180869e+00,3.990959441496810367e+00
3.094245120882987976e-02,3.974002611357718706e-04,-3.878940105438232422e+00,3.878940105438232422e+00,3.782516895264873610e-04,-3.860515972854011491e+00,3.860515991384480206e+00
3.123436123132705688e-02,5.092271603643894196e-04,-3.747365474700927734e+00,3.747365474700927734e+00,4.984502400836014367e-04,-3.685965948869318609e+00,3.685965982571832722e+00
3.152627125382423401e-02,6.091131363064050674e-04,-3.529103279113769531e+00,3.529103279113769531e+00,5.988525256743245772e-04,-3.469291258216557594e+00,3.469291309902092557e+00
3.181818127632141113e-02,7.083232048898935318e-04,-3.305933952331542969e+00,3.305933952331542969e+00,6.992505937034972823e-04,-3.212978532483810046e+00,3.212978608573858974e+00
3.211009129881858826e-02,7.931829313747584820e-04,-3.018422126770019531e+00,3.018422126770019531e+00,7.856939721888686482e-04,-2.919947319834322208e+00,2.919947425540854180e+00
3.240200132131576538e-02,8.745744125917553902e-04,-2.715359449386596680e+00,2.715359449386596680e+00,8.640987791300018279e-04,-2.593550064227546414e+00,2.593550208174387972e+00
3.269391134381294250e-02,9.412943618372082710e-04,-2.369780063629150391e+00,2.369780063629150391e+00,9.421933664257149893e-04,-2.237530133776227004e+00,2.237530332148594869e+00
3.298582136631011963e-02,1.000599702820181847e-03,-2.002713918685913086e+00,2.002714157104492188e+00,1.001597795002553493e-03,-1.855928104564108061e+00,1.855928374832678251e+00
3.327773138880729675e-02,1.046722172759473324e-03,-1.612231135368347168e+00,1.612231492996215820e+00,1.052333463763424279e-03,-1.453127763596330224e+00,1.453128144638383690e+00
3.356964141130447388e-02,1.080831745639443398e-03,-1.200410008430480957e+00,1.200410485267639160e+00,1.092569496127834610e-03,-1.033730956928730960e+00,1.033731534307091637e+00
3.386155143380165100e-02,1.104629831388592720e-03,-7.797356247901916504e-01,7.797363400459289551e-01,1.116147138921505435e-03,-6.025071566930171318e-01,6.025081905258546922e-01
3.415346145629882812e-02,1.111755729652941227e-03,-3.447469174861907959e-01,3.447486758232116699e-01,1.128116934466407871e-03,-1.643985698592158318e-01,1.644024404307104226e-01
3.444537147879600525e-02,1.112286583520472050e-03,9.032815694808959961e-02,9.033500403165817261e-02,1.127890925383894394e-03,2.755806921052803560e-01,2.755830001998760825e-01
3.473728150129318237e-02,1.092054764740169048e-03,5.256749391555786133e-01,5.256760716438293457e-01,1.115585804591519813e-03,7.124188232537529419e-01,7.124196967083022969e-01
3.502919152379035950e-02,1.069193356670439243e-03,9.587749242782592773e-01,9.587755203247070312e-01,1.087674805279036658e-03,1.141101224509910583e+00,1.141101742884699677e+00
3.532110154628753662e-02,1.022664830088615417e-03,1.371653795242309570e+00,1.371654152870178223e+00,1.051258304754194763e-03,1.556759705776921354e+00,1.556760060726980033e+00
3.561301156878471375e-02,9.761362452991306782e-04,1.784532785415649414e+00,1.784533023834228516e+00,1.000090359300734267e-03,1.954622527699857226e+00,1.954622783549937681e+00
3.590492159128189087e-02,9.067302453331649303e-04,2.155107736587524414e+00,2.155107736587524414e+00,9.327833941643508611e-04,2.330144500951653708e+00,2.330144687653556534e+00
3.619683161377906799e-02,8.363444358110427856e-04,2.523871183395385742e+00,2.523871183395385742e+00,8.633401756225618333e-04,2.679054240377849005e+00,2.679054379485939386e+00
3.648874163627624512e-02,7.494649617001414299e-04,2.840740680694580078e+00,2.840740680694580078e+00,7.849864028577943197e-04,2.997350805858852496e+00,2.997350908650231016e+00
3.678065165877342224e-02,6.589123513549566269e-04,3.146053791046142578e+00,3.146053791046142578e+00,6.921582426730882309e-04,3.281392021531480907e+00,3.281392094531449199e+00
3.707256168127059937e-02,5.579246208071708679e-04,3.397588729858398438e+00,3.397588729858398438e+00,5.979947674229684016e-04,3.527942660393053043e+00,3.527942711073829063e+00
3.736447170376777649e-02,4.519536742009222507e-04,3.623441934585571289e+00,3.623441934585571289e+00,4.833168308380539737e-04,3.734173504954536593e+00,3.734173536232562984e+00
3.765638172626495361e-02,3.406987234484404325e-04,3.800384998321533203e+00,3.800384998321533203e+00,3.771517372444679428e-04,3.897742837590330023e+00,3.897742855837228237e+00
3.794829174876213074e-02,2.248642995255067945e-04,3.934939146041870117e+00,3.934939146041870117e+00,2.575202784012663019e-04,4.016771463393276953e+00,4.016771471648251435e+00
3.824020177125930786e-02,1.075344116543419659e-04,4.030677795410156250e+00,4.030677795410156250e+00,1.366830821989269108e-04,4.089902797769851439e+00,4.089902800053801357e+00
3.853211179375648499e-02,-1.208942921948619187e-05,4.066876888275146484e+00,4.066876888275146484e+00,1.427072287535619142e-05,4.116300075881914822e+00,4.116300075906652367e+00
3.882402181625366211e-02,-1.310837251367047429e-04,4.077654361724853516e+00,4.077654361724853516e+00,-1.005112567188496021e-04,4.095662400565871053e+00,4.095662401799189389e+00
3.911592811346054077e-02,-2.482234558556228876e-04,4.013601303100585938e+00,4.013601303100585938e+00,-2.181405734888534605e-04,4.028226725736513636e+00,4.028226731642996938e+00
3.940783813595771790e-02,-3.643944510258734226e-04,3.938647270202636719e+00,3.938647270202636719e+00,-3.370859989290063961e-04,3.914762328480751563e+00,3.914762342993378219e+00
3.969974815845489502e-02,-4.729111387860029936e-04,3.777698755264282227e+00,3.777698755264282227e+00,-4.519951756919933549e-04,3.756566164539931307e+00,3.756566191732270354e+00
3.999165818095207214e-02,-5.814278265461325645e-04,3.616750001907348633e+00,3.616750001907348633e+00,-5.566062286827965118e-04,3.555440406589568170e+00,3.555440450158079635e+00
4.028356820344924927e-02,-6.760393735021352768e-04,3.369873046875000000e+00,3.369873046875000000e+00,-6.661213632052329124e-04,3.313697623086456101e+00,3.313697690038501342e+00
4.057547822594642639e-02,-7.702418952248990536e-04,3.120468378067016602e+00,3.120468378067016602e+00,-7.553258665439533965e-04,3.034081721037941826e+00,3.034081815056034692e+00
4.086738824844360352e-02,-8.484568679705262184e-04,2.808473587036132812e+00,2.808473587036132812e+00,-8.419768293065175860e-04,2.719801625823364599e+00,2.719801756149958560e+00
4.115929827094078064e-02,-9.234055760316550732e-04,2.483691692352294922e+00,2.483691692352294922e+00,-9.142630153308472802e-04,2.374437581576861689e+00,2.374437757592612996e+00
4.145120829343795776e-02,-9.823751170188188553e-04,2.118689060211181641e+00,2.118689298629760742e+00,-9.769971961379290970e-04,2.001940993755012776e+00,2.001941232154512917e+00
4.174311831593513489e-02,-1.034141285344958305e-03,1.735554695129394531e+00,1.735554933547973633e+00,-1.035837060688791621e-03,1.606583362138900739e+00,1.606583696064400657e+00
4.203502833843231201e-02,-1.071710255928337574e-03,1.331444859504699707e+00,1.331445217132568359e+00,-1.078543213507487464e-03,1.192861126667574601e+00,1.192861614257957115e+00
4.232693836092948914e-02,-1.097579137422144413e-03,9.100485444068908691e-01,9.100492000579833984e-01,-1.107082656359271522e-03,7.655009511660748611e-01,7.655017517081024181e-01
4.261884838342666626e-02,-1.112352008931338787e-03,4.820697009563446045e-01,4.820709526538848877e-01,-1.125646262745121562e-03,3.294091408887735994e-01,3.294110641441612142e-01
4.291075840592384338e-02,-1.110967365093529224e-03,4.450559616088867188e-02,4.451945796608924866e-02,-1.129358102412523785e-03,-1.104621364323317562e-01,1.104679095254298832e-01
4.320266842842102051e-02,-1.102350768633186817e-03,-3.912560343742370605e-01,3.912575840950012207e-01,-1.120692918425675528e-03,-5.490634345649474390e-01,5.490645782864468361e-01
4.349457845091819763e-02,-1.073785126209259033e-03,-8.220457434654235840e-01,8.220464587211608887e-01,-1.100533358277534053e-03,-9.813985370092861427e-01,9.813991540742431630e-01
4.378648847341537476e-02,-1.042009098455309868e-03,-1.249165296554565430e+00,1.249165773391723633e+00,-1.068342995196595174e-03,-1.402521119968532570e+00,1.402521526863150347e+00
4.407839849591255188e-02,-9.877602569758892059e-04,-1.650593638420104980e+00,1.650593876838684082e+00,-1.019677194293043977e-03,-1.807599598048970524e+00,1.807599885651794303e+00
4.437030851840972900e-02,-9.335113572888076305e-04,-2.052022218704223633e+00,2.052022457122802734e+00,-9.597897216308321931e-04,-2.192034190372583513e+00,2.192034400496191360e+00
4.466221854090690613e-02,-8.567910408601164818e-04,-2.403849601745605469e+00,2.403849601745605469e+00,-8.954892939332970451e-04,-2.551424965097241149e+00,2.551425122244925348e+00
4.495412856340408325e-02,-7.797037833370268345e-04,-2.754867076873779297e+00,2.754867076873779297e+00,-8.087461708874087683e-04,-2.881652397847474845e+00,2.881652511336241673e+00
4.524603858590126038e-02,-6.867729825899004936e-04,-3.047887325286865234e+00,3.047887325286865234e+00,-7.259797200683487748e-04,-3.178961450796831123e+00,3.178961533692858055e+00
4.553794860839843750e-02,-5.908882012590765953e-04,-3.330093860626220703e+00,3.330093860626220703e+00,-6.328340363249081212e-04,-3.439947640737688772e+00,3.439947698947718902e+00
4.582985863089561462e-02,-4.853400459978729486e-04,-3.553624391555786133e+00,3.553624391555786133e+00,-5.291636229745671442e-04,-3.661620050426973805e+00,3.661620088663346984e+00
4.612176865339279175e-02,-3.756855730898678303e-04,-3.752221107482910156e+00,3.752221107482910156e+00,-4.232670492720974273e-04,-3.841457542226758282e+00,3.841457565545380870e+00
4.641367867588996887e-02,-2.615339762996882200e-04,-3.898098230361938477e+00,3.898098230361938477e+00,-3.014611097371296404e-04,-3.977394266968335756e+00,3.977394278392750060e+00
4.670558869838714600e-02,-1.438591280020773411e-04,-4.002672672271728516e+00,4.002672672271728516e+00,-1.874422429993197073e-04,-4.067888221569567975e+00,4.067888225888097509e+00
