z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
8.977493643760681152e-02,9.801653772592544556e-02,6.595249023437500000e+02,6.669053344726562500e+02,1.602344274520874023e+00,1.620275378227233887e+00
9.022606164216995239e-02,9.850908070802688599e-02,6.522137451171875000e+02,6.602423706054687500e+02,1.584581494331359863e+00,1.604087352752685547e+00
9.067718684673309326e-02,9.900161623954772949e-02,6.476774902343750000e+02,6.534937744140625000e+02,1.573560476303100586e+00,1.587691307067871094e+00
9.112831205129623413e-02,9.949415922164916992e-02,6.385282592773437500e+02,6.466635131835937500e+02,1.551331996917724609e+00,1.571096897125244141e+00
9.157943725585937500e-02,9.998669475317001343e-02,6.324198608398437500e+02,6.397534790039062500e+02,1.536491394042968750e+00,1.554308772087097168e+00
9.203056246042251587e-02,1.004792377352714539e-01,6.254339599609375000e+02,6.327669677734375000e+02,1.519518852233886719e+00,1.537334680557250977e+00
9.248168766498565674e-02,1.009717807173728943e-01,6.174866943359375000e+02,6.257069091796875000e+02,1.500210642814636230e+00,1.520182013511657715e+00
9.293281286954879761e-02,1.014643162488937378e-01,6.125571899414062500e+02,6.185766601562500000e+02,1.488234162330627441e+00,1.502858757972717285e+00
9.338393807411193848e-02,1.019568592309951782e-01,6.032082519531250000e+02,6.113781738281250000e+02,1.465520501136779785e+00,1.485369682312011719e+00
9.383506327867507935e-02,1.024493947625160217e-01,5.964403076171875000e+02,6.041143188476562500e+02,1.449077486991882324e+00,1.467721819877624512e+00
9.428618848323822021e-02,1.029419377446174622e-01,5.895189819335937500e+02,5.967882080078125000e+02,1.432261824607849121e+00,1.449922680854797363e+00
9.473731368780136108e-02,1.034344807267189026e-01,5.810395507812500000e+02,5.894027099609375000e+02,1.411660671234130859e+00,1.431979298591613770e+00
9.518843889236450195e-02,1.039270162582397461e-01,5.754215087890625000e+02,5.819602050781250000e+02,1.398011445999145508e+00,1.413897514343261719e+00
9.563956409692764282e-02,1.044195592403411865e-01,5.662911987304687500e+02,5.744630126953125000e+02,1.375828981399536133e+00,1.395682692527770996e+00
9.609068930149078369e-02,1.049120947718620300e-01,5.589592285156250000e+02,5.669132690429687500e+02,1.358015656471252441e+00,1.377340316772460938e+00
9.654181450605392456e-02,1.054046377539634705e-01,5.521210937500000000e+02,5.593138427734375000e+02,1.341402053833007812e+00,1.358877182006835938e+00
9.699293971061706543e-02,1.058971732854843140e-01,5.432102661132812500e+02,5.516679687500000000e+02,1.319752812385559082e+00,1.340301156044006348e+00
9.744406491518020630e-02,1.063897162675857544e-01,5.369912719726562500e+02,5.439764404296875000e+02,1.304643511772155762e+00,1.321614265441894531e+00
9.789519011974334717e-02,1.068822592496871948e-01,5.281021728515625000e+02,5.362437744140625000e+02,1.283047080039978027e+00,1.302827477455139160e+00
9.834631532430648804e-02,1.073747947812080383e-01,5.202991943359375000e+02,5.284702148437500000e+02,1.264089345932006836e+00,1.283941268920898438e+00
9.879744052886962891e-02,1.078673377633094788e-01,5.135529785156250000e+02,5.206588134765625000e+02,1.247699141502380371e+00,1.264963030815124512e+00
9.924856573343276978e-02,1.083598732948303223e-01,5.043080749511718750e+02,5.128114624023437500e+02,1.225238204002380371e+00,1.245897650718688965e+00
9.969969093799591064e-02,1.088524162769317627e-01,4.975737304687500000e+02,5.049306030273437500e+02,1.208876848220825195e+00,1.226750731468200684e+00
1.001508161425590515e-01,1.093449518084526062e-01,4.889372863769531250e+02,4.970186157226562500e+02,1.187894225120544434e+00,1.207528233528137207e+00
1.006019413471221924e-01,1.098374947905540466e-01,4.807531738281250000e+02,4.890767517089843750e+02,1.168010592460632324e+00,1.188233137130737305e+00
1.010530665516853333e-01,1.103300377726554871e-01,4.740984497070312500e+02,4.811077575683593750e+02,1.151842713356018066e+00,1.168872117996215820e+00
1.015041992068290710e-01,1.108225807547569275e-01,4.646119384765625000e+02,4.731134948730468750e+02,1.128794789314270020e+00,1.149449706077575684e+00
1.019553244113922119e-01,1.113151237368583679e-01,4.574453125000000000e+02,4.650959777832031250e+02,1.111383199691772461e+00,1.129970788955688477e+00
1.024064496159553528e-01,1.118076592683792114e-01,4.490629272460937500e+02,4.570562744140625000e+02,1.091017842292785645e+00,1.110437989234924316e+00
1.028575748205184937e-01,1.123002022504806519e-01,4.405837097167968750e+02,4.489971618652343750e+02,1.070417165756225586e+00,1.090857982635498047e+00
1.033087000250816345e-01,1.127927452325820923e-01,4.340119018554687500e+02,4.409199523925781250e+02,1.054450631141662598e+00,1.071234107017517090e+00
1.037598252296447754e-01,1.132852807641029358e-01,4.243718261718750000e+02,4.328276062011718750e+02,1.031029701232910156e+00,1.051573395729064941e+00
1.042109504342079163e-01,1.137778237462043762e-01,4.168524475097656250e+02,4.247207946777343750e+02,1.012760996818542480e+00,1.031877517700195312e+00
1.046620756387710571e-01,1.142703592777252197e-01,4.087164306640625000e+02,4.166007080078125000e+02,9.929942488670349121e-01,1.012149453163146973e+00
1.051132008433341980e-01,1.147629022598266602e-01,4.000240478515625000e+02,4.084707336425781250e+02,9.718757271766662598e-01,9.923973083496093750e-01
1.055643260478973389e-01,1.152554377913475037e-01,3.934126892089843750e+02,4.003294982910156250e+02,9.558131098747253418e-01,9.726178050041198730e-01
1.060154512524604797e-01,1.157479807734489441e-01,3.838084106445312500e+02,3.921821289062500000e+02,9.324791431427001953e-01,9.528234004974365234e-01
1.064665764570236206e-01,1.162405237555503845e-01,3.760127868652343750e+02,3.840278320312500000e+02,9.135392904281616211e-01,9.330121874809265137e-01
1.069177016615867615e-01,1.167330592870712280e-01,3.681077270507812500e+02,3.758698425292968750e+02,8.943336009979248047e-01,9.131920337677001953e-01
