theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
5.250000000000000000e+00,1.271578250408535524e+02,1.272012358170864843e+02,6.877314403318034453e-01,6.875996658084375657e-01,6.448166537883749072e+01,6.480474176143754050e+01,-4.862490372557476093e+01,4.234978049183911253e+01,4.000000000000000000e+00
5.500000000000000000e+00,1.268168793638223235e+02,1.268599672447136300e+02,6.612589987000406788e-01,6.611077195578917154e-01,6.199961057814875431e+01,6.230793464983722174e+01,-4.666743496756954102e+01,4.081791549540181308e+01,4.000000000000000000e+00
5.750000000000000000e+00,1.264547260081514253e+02,1.264974293499385425e+02,6.342550406035171173e-01,6.340818667722782909e-01,5.946772082036176954e+01,5.976080803278874498e+01,-4.467177867268330260e+01,3.925356047274292592e+01,4.000000000000000000e+00
6.000000000000000888e+00,1.260703595471662766e+02,1.261126037523121113e+02,6.068000449959147780e-01,6.066023014585553153e-01,5.689354180814045492e+01,5.717092001738575391e+01,-4.264398169049292875e+01,3.766119919831987772e+01,4.000000000000000000e+00
6.250000000000000000e+00,1.256626443929687440e+02,1.257043387292173406e+02,5.789750469358461160e-01,5.787497314996049580e-01,5.428467138451910046e+01,5.454587714238672902e+01,-4.059012445581979023e+01,3.604535121185931246e+01,4.000000000000000000e+00
6.500000000000000000e+00,1.252302932113226888e+02,1.252713266964430119e+02,5.508613315081896111e-01,5.506050634359151985e-01,5.164873083498221717e+01,5.189330466958840304e+01,-3.851629683549553818e+01,3.441055470265539640e+01,4.000000000000000000e+00
6.750000000000000000e+00,1.247718404843689513e+02,1.248120765084180448e+02,5.225401326447985939e-01,5.222490895098209629e-01,4.899333664890920659e+01,4.922081708844035575e+01,-3.642857417846853707e+01,3.276134947338348979e+01,4.000000000000000000e+00
7.000000000000000000e+00,1.242856098665812397e+02,1.243248790871389815e+02,4.940923391937467324e-01,4.937621784157340543e-01,4.632607296064158220e+01,4.653598896994088818e+01,-3.433299368110087357e+01,3.110226006013347799e+01,4.000000000000000000e+00
7.250000000000000888e+00,1.237696735179087852e+02,1.238077643608578455e+02,4.655982109254462320e-01,4.652239711674570621e-01,4.365446492223086494e+01,4.384632630280658816e+01,-3.223553117694842740e+01,2.943777908379418662e+01,4.000000000000000000e+00
7.499999999999999112e+00,1.232218009493171138e+02,1.232584467405867201e+02,4.371371076765847574e-01,4.367130834539693640e-01,4.098595330798764991e+01,4.115923844116609587e+01,-3.014207845681531950e+01,2.777235090639129922e+01,4.000000000000000000e+00
7.750000000000000000e+00,1.226393939907257220e+02,1.226742552703621811e+02,4.087872356219945380e-01,4.083068158083189569e-01,3.832787072494479474e+01,3.848201078862167179e+01,-2.805842122114459158e+01,2.611035566369985617e+01,4.000000000000000000e+00
