# Field minima and maxima
# Time                	min(U)                	max(U)                
0.0027815             	4.73932812962648e-01	2.79248707636361e+00
0.002782              	4.74109003154487e-01	2.79229310838845e+00
0.0027825             	4.74285185942851e-01	2.79209710063038e+00
0.002783              	4.74461385009842e-01	2.79189954998666e+00
0.0027835             	4.74637584314179e-01	2.79170029023834e+00
0.002784              	4.74813774565935e-01	2.79149917259965e+00
0.0027845             	4.74989924019543e-01	2.79129606927015e+00
0.002785              	4.75166096460594e-01	2.79109114213646e+00
0.0027855             	4.75342247187782e-01	2.79088442939815e+00
0.002786              	4.75518394118539e-01	2.79067596600040e+00
0.0027865             	4.75694504866556e-01	2.79046579063328e+00
0.002787              	4.75870605831034e-01	2.79025395955195e+00
0.0027875             	4.76046682211489e-01	2.79004054268550e+00
0.002788              	4.76222752048958e-01	2.78982564529447e+00
0.0027885             	4.76398795729324e-01	2.78960944257269e+00
0.002789              	4.76574827820301e-01	2.78939219618031e+00
0.0027895             	4.76750813818173e-01	2.78917415644887e+00
0.00279               	4.76926844849002e-01	2.78894797893475e+00
0.0027905             	4.77102878403493e-01	2.78871542959204e+00
0.002791              	4.77278908598320e-01	2.78847934872347e+00
0.0027915             	4.77454923946163e-01	2.78824101907209e+00
0.002792              	4.77630933797208e-01	2.78800088818974e+00
0.0027925             	4.77685548753281e-01	2.78775909814991e+00
0.002793              	4.77726769447845e-01	2.78751569296023e+00
0.0027935             	4.77768138216155e-01	2.78727077097030e+00
0.002794              	4.77809649041297e-01	2.78702447256972e+00
0.0027945             	4.77851308834510e-01	2.78677670603387e+00
0.002795              	4.77893117331099e-01	2.78652782251304e+00
0.0027955             	4.77935085142060e-01	2.78627752038534e+00
0.002796              	4.77977205047421e-01	2.78602575598551e+00
0.0027965             	4.78019473927978e-01	2.78577251397384e+00
0.002797              	4.78061890614334e-01	2.78551778231948e+00
0.0027975             	4.78104144010531e-01	2.78525721294588e+00
0.002798              	4.78146582485240e-01	2.78499345762803e+00
0.0027985             	4.78189177577682e-01	2.78472869972760e+00
0.002799              	4.78232013307675e-01	2.78446198175940e+00
0.0027995             	4.78275038158508e-01	2.78419421741983e+00
0.0028                	4.78318265772844e-01	2.78392481454887e+00
0.0028005             	4.78361645344064e-01	2.78365407498747e+00
0.002801              	4.78405206814580e-01	2.78338184420035e+00
0.0028015             	4.78448945047388e-01	2.78310818845090e+00
0.002802              	4.78492562509463e-01	2.78283298551474e+00
0.0028025             	4.78536390376035e-01	2.78255625737173e+00
0.002803              	4.78580434542584e-01	2.78227796758474e+00
0.0028035             	4.78624685239750e-01	2.78199807797831e+00
0.002804              	4.78669081004394e-01	2.78171686216225e+00
0.0028045             	4.78713635945620e-01	2.78143425451346e+00
0.002805              	4.78758336514094e-01	2.78115033063426e+00
0.0028055             	4.78803233347060e-01	2.78086483327056e+00
0.002806              	4.78848308923883e-01	2.78057779330634e+00
0.0028065             	4.78893608840159e-01	2.78028913350659e+00
0.002807              	4.78939071208437e-01	2.77999898705047e+00
0.0028075             	4.78984703071560e-01	2.77970728129520e+00
0.002808              	4.79030516939573e-01	2.77941409255970e+00
0.0028085             	4.79076543017990e-01	2.77911940354805e+00
0.002809              	4.79122670267056e-01	2.77882305678869e+00
0.0028095             	4.79168925780964e-01	2.77852498149848e+00
0.00281               	4.79215339960023e-01	2.77822512369581e+00
0.0028105             	4.79261938160309e-01	2.77792351160186e+00
0.002811              	4.79308703335076e-01	2.77762032305250e+00
0.0028115             	4.79355634666409e-01	2.77731551494270e+00
0.002812              	4.79402741259566e-01	2.77700904535835e+00
0.0028125             	4.79450026001763e-01	2.77670089600369e+00
0.002813              	4.79497419638878e-01	2.77639122842708e+00
0.0028135             	4.79544936188043e-01	2.77608000636149e+00
0.002814              	4.79592650867739e-01	2.77576715877178e+00
0.0028145             	4.79640551872288e-01	2.77545268620138e+00
0.002815              	4.79688603716414e-01	2.77513657765551e+00
0.0028155             	4.79736798128105e-01	2.77481896199994e+00
0.002816              	4.79785148071855e-01	2.77449975944631e+00
0.0028165             	4.79833656675097e-01	2.77417897187045e+00
0.002817              	4.79882309178206e-01	2.77385662584629e+00
0.0028175             	4.79931119369904e-01	2.77353274519517e+00
0.002818              	4.79980081261552e-01	2.77320736426400e+00
0.0028185             	4.80029207253674e-01	2.77288052316587e+00
0.002819              	4.80078453092789e-01	2.77255952097398e+00
0.0028195             	4.80127856176088e-01	2.77223871391694e+00
0.00282               	4.80177400860150e-01	2.77191746969583e+00
0.0028205             	4.80227071771219e-01	2.77159567301728e+00
0.002821              	4.80276873333106e-01	2.77127336367064e+00
0.0028215             	4.80326812123171e-01	2.77095098665411e+00
0.002822              	4.80376871423363e-01	2.77062978786837e+00
0.0028225             	4.80427020702081e-01	2.77030912502939e+00
0.002823              	4.80477398406797e-01	2.76997617442330e+00
0.0028235             	4.80527929330517e-01	2.76963999782310e+00
0.002824              	4.80578531359454e-01	2.76930240576008e+00
0.0028245             	4.80629248513880e-01	2.76896358808340e+00
0.002825              	4.80680107778425e-01	2.76862369727180e+00
0.0028255             	4.80731049334384e-01	2.76828270891167e+00
0.002826              	4.80782116101182e-01	2.76794068999325e+00
0.0028265             	4.80833316831335e-01	2.76759761756786e+00
0.002827              	4.80884636035575e-01	2.76725352961906e+00
0.0028275             	4.80936082439705e-01	2.76690841341975e+00
0.002828              	4.80987629640027e-01	2.76656230270010e+00
0.0028285             	4.80942164307945e-01	2.76621518969120e+00
0.002829              	4.80865574189272e-01	2.76586710424091e+00
0.0028295             	4.80789167338941e-01	2.76551805260868e+00
0.00283               	4.80713069984921e-01	2.76516790671482e+00
0.0028305             	4.80637059513222e-01	2.76481670015709e+00
0.002831              	4.80561284347336e-01	2.76446456475499e+00
0.0028315             	4.80485643139029e-01	2.76411153766856e+00
0.002832              	4.80410197302770e-01	2.76375767388689e+00
0.0028325             	4.80334935212827e-01	2.76340301891298e+00
0.002833              	4.80259856570138e-01	2.76304767288722e+00
0.0028335             	4.80184967503681e-01	2.76268795734404e+00
0.002834              	4.80110271422835e-01	2.76232668407508e+00
0.0028345             	4.80035780069992e-01	2.76196341101591e+00
0.002835              	4.79961495855922e-01	2.76159891390876e+00
0.0028355             	4.79887400010824e-01	2.76123342595787e+00
