time	WettedArea_bottom	maxU
4.2e-05	4.4383149183811e-06	1.6627683928736e-06
4.21e-05	4.4383149183818e-06	1.6564612668217e-06
4.22e-05	4.4383149183825e-06	1.6501866819042e-06
4.23e-05	4.4383149183832e-06	1.6439444347197e-06
4.24e-05	4.4383149183838e-06	1.6377343232488e-06
4.25e-05	4.4383149183845e-06	1.6315561469157e-06
4.26e-05	4.4383149183851e-06	1.6254097066383e-06
4.27e-05	4.4383149183858e-06	1.6192948046776e-06
4.28e-05	4.4383149183864e-06	1.6132112446235e-06
4.29e-05	4.4383149183871e-06	1.6071588313922e-06
4.3e-05	4.4383149183877e-06	1.6013927880882e-06
4.31e-05	4.4383149183884e-06	1.5957969289802e-06
4.32e-05	4.438314918389e-06	1.5902267753646e-06
4.33e-05	4.4383149183897e-06	1.5846821932022e-06
4.34e-05	4.4383149183903e-06	1.5791630490848e-06
4.35e-05	4.438314918391e-06	1.5736692102382e-06
4.36e-05	4.4383149183916e-06	1.5682005445166e-06
4.37e-05	4.4383149183922e-06	1.5627569204062e-06
4.38e-05	4.4383149183929e-06	1.5573382070282e-06
4.39e-05	4.4383149183935e-06	1.5519442741351e-06
4.4e-05	4.4383149183941e-06	1.5465749921116e-06
4.41e-05	4.4383149183947e-06	1.5412302319718e-06
4.42e-05	4.4383149183954e-06	1.5359098653576e-06
4.43e-05	4.438314918396e-06	1.5306137645369e-06
4.44e-05	4.4383149183966e-06	1.5253418024021e-06
4.45e-05	4.4383149183972e-06	1.5200938524793e-06
4.46e-05	4.4383149183978e-06	1.5148697889445e-06
4.47e-05	4.4383149183984e-06	1.5096694865614e-06
4.48e-05	4.438314918399e-06	1.5044928207111e-06
4.49e-05	4.4383149183996e-06	1.4993396673904e-06
4.5e-05	4.4383149184002e-06	1.4942099032094e-06
4.51e-05	4.4383149184008e-06	1.4891034054049e-06
4.52e-05	4.4383149184014e-06	1.4840200518392e-06
4.53e-05	4.438314918402e-06	1.4789597209952e-06
4.54e-05	4.4383149184026e-06	1.4739222919724e-06
4.55e-05	4.4383149184032e-06	1.468907644486e-06
4.56e-05	4.4383149184038e-06	1.4639156588649e-06
4.57e-05	4.4383149184044e-06	1.4589462160493e-06
4.58e-05	4.438314918405e-06	1.4539991977454e-06
4.59e-05	4.4383149184056e-06	1.4490744863848e-06
4.6e-05	4.4383149184061e-06	1.4441719649885e-06
4.61e-05	4.4383149184067e-06	1.4392915171625e-06
4.62e-05	4.4383149184073e-06	1.4344330271038e-06
4.63e-05	4.4383149184079e-06	1.4295963795929e-06
4.64e-05	4.4383149184084e-06	1.4247814599981e-06
4.65e-05	4.438314918409e-06	1.4199881542839e-06
4.66e-05	4.4383149184096e-06	1.4152163489984e-06
4.67e-05	4.4383149184102e-06	1.410465931272e-06
4.68e-05	4.4383149184107e-06	1.4057367888221e-06
4.69e-05	4.4383149184113e-06	1.4010288099589e-06
4.7e-05	4.4383149184118e-06	1.3963418835663e-06
