host,job_id,N,ordering,sigma_max_s_inv,mode,ranks,pressureRelL2_cell_centres,baselineDifference,seconds,max_relative_residual
Lichtenberg,54506190,1120,forward,500000,baseline,1,0.00498223774061835,0.0,0.4165987790329382,
Lichtenberg,54506190,1120,forward,500000,baseline,8,0.004982237740619503,4.930390852855357e-14,1.1273453109897673,
Lichtenberg,54506190,1120,forward,500000,submission,1,0.00498223774061835,0.0,0.6693219140870497,6.707505102289573e-14
Lichtenberg,54506190,1120,forward,500000,submission,8,0.004982237740619503,4.930390852855357e-14,1.2832920450018719,6.767546717241007e-14
Lichtenberg,54506190,2240,forward,500000,baseline,1,0.0012526696977797867,0.0,0.5692665770184249,
Lichtenberg,54506190,2240,forward,500000,baseline,8,0.0012526696977841827,3.8120475434865874e-14,1.1294148489832878,
Lichtenberg,54506190,2240,forward,500000,submission,1,0.0012526696977797867,0.0,0.6698208129964769,1.8906223885052556e-13
Lichtenberg,54506190,2240,forward,500000,submission,8,0.0012526696977841827,3.8120475434865874e-14,2.2980267809471115,1.8783474890594927e-13
Lichtenberg,54506190,4480,forward,500000,baseline,1,0.00031364204937912616,0.0,0.9695231330115348,
Lichtenberg,54506190,4480,forward,500000,baseline,8,0.000313642049480401,1.0643413102607632e-12,1.4229145359713584,
Lichtenberg,54506190,4480,forward,500000,submission,1,0.00031364204937912616,0.0,0.5702383320312947,5.162742907455117e-13
Lichtenberg,54506190,4480,forward,500000,submission,8,0.000313642049480401,1.0643413102607632e-12,1.2168382339878008,5.150784723338549e-13
Lichtenberg,54506190,8960,forward,500000,baseline,1,7.844123319378235e-05,0.0,0.6177501090569422,
Lichtenberg,54506190,8960,forward,500000,baseline,8,7.844123326187847e-05,7.076659682953179e-13,1.4670670309569687,
Lichtenberg,54506190,8960,forward,500000,submission,1,7.844123319378235e-05,0.0,0.6167737710056826,1.6653794718403017e-12
Lichtenberg,54506190,8960,forward,500000,submission,8,7.844123326187847e-05,7.076659682953179e-13,1.4682949510170147,1.662216619300088e-12
Lichtenberg,54506190,8000,forward,10000,baseline,1,0.5188700250145775,0.0,0.6171619279775769,
Lichtenberg,54506190,8000,forward,10000,baseline,8,0.5188700250147267,1.9489194929783904e-12,2.09452131902799,
Lichtenberg,54506190,8000,forward,10000,submission,1,0.5188700250145775,0.0,0.7701413149479777,1.7611714930347363e-12
Lichtenberg,54506190,8000,forward,10000,submission,8,0.5188700250147267,1.9489194929783904e-12,1.5289452290162444,8.669458818801174e-12
WSL,,8000,forward,50000,baseline,1,0.12106312387932494,0.0,0.7158199590630829,
WSL,,8000,forward,50000,baseline,4,0.12106312387898942,1.7857217836240385e-12,0.9066242760745808,
WSL,,8000,forward,50000,submission,1,0.12106312387932494,0.0,0.5174515550024807,3.5531857574276143e-12
WSL,,8000,forward,50000,submission,4,0.12106312387898942,1.7857217836240385e-12,0.856975523987785,2.888604759028894e-12
WSL,,8000,forward,100000,baseline,1,0.017862689038461634,0.0,0.46724279900081456,
WSL,,8000,forward,100000,baseline,4,0.017862689038330663,1.3077884606050435e-12,0.8062614299124107,
WSL,,8000,forward,100000,submission,1,0.017862689038461634,0.0,0.5174608789384365,1.0282543490623362e-11
WSL,,8000,forward,100000,submission,4,0.017862689038330663,1.3077884606050435e-12,0.856021594023332,1.600218826891556e-11
WSL,,8000,forward,200000,baseline,1,0.0014649761347202753,0.0,0.5169560019858181,
WSL,,8000,forward,200000,baseline,4,0.0014649761349577067,1.0439403751831184e-12,0.7537672000471503,
WSL,,8000,forward,200000,submission,1,0.0014649761347202753,0.0,0.5169576560147107,9.312699733200286e-12
WSL,,8000,forward,200000,submission,4,0.0014649761349577067,1.0439403751831184e-12,0.7534822960151359,6.129843341766264e-12
